Model,MSO44B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,125000
Zero Index,62499.00000000
Vertical Units,A
ANALOG_Thumbnail,
yOffset,0.00000000e+00
yPosition,-1.10000000e+00

Labels,
TIME,CH3
-9.97536000e-06,-3.90000000e-02
-9.97520000e-06,-3.90000000e-02
-9.97504000e-06,-4.10000000e-02
-9.97488000e-06,-4.10000000e-02
-9.97472000e-06,-4.10000000e-02
-9.97456000e-06,-4.10000000e-02
-9.97440000e-06,-4.10000000e-02
-9.97424000e-06,-4.10000000e-02
-9.97408000e-06,-4.10000000e-02
-9.97392000e-06,-4.10000000e-02
-9.97376000e-06,-4.10000000e-02
-9.97360000e-06,-4.10000000e-02
-9.97344000e-06,-3.90000000e-02
-9.97328000e-06,-3.90000000e-02
-9.97312000e-06,-4.10000000e-02
-9.97296000e-06,-4.10000000e-02
-9.97280000e-06,-4.10000000e-02
-9.97264000e-06,-4.10000000e-02
-9.97248000e-06,-4.10000000e-02
-9.97232000e-06,-4.10000000e-02
-9.97216000e-06,-4.10000000e-02
-9.97200000e-06,-4.10000000e-02
-9.97184000e-06,-4.10000000e-02
-9.97168000e-06,-4.10000000e-02
-9.97152000e-06,-4.10000000e-02
-9.97136000e-06,-4.10000000e-02
-9.97120000e-06,-4.10000000e-02
-9.97104000e-06,-4.10000000e-02
-9.97088000e-06,-4.10000000e-02
-9.97072000e-06,-4.10000000e-02
-9.97056000e-06,-4.10000000e-02
-9.97040000e-06,-4.10000000e-02
-9.97024000e-06,-4.10000000e-02
-9.97008000e-06,-4.10000000e-02
-9.96992000e-06,-4.30000000e-02
-9.96976000e-06,-4.30000000e-02
-9.96960000e-06,-4.30000000e-02
-9.96944000e-06,-4.30000000e-02
-9.96928000e-06,-4.30000000e-02
-9.96912000e-06,-4.30000000e-02
-9.96896000e-06,-4.30000000e-02
-9.96880000e-06,-4.30000000e-02
-9.96864000e-06,-4.30000000e-02
-9.96848000e-06,-4.30000000e-02
-9.96832000e-06,-4.30000000e-02
